"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"51",0.06,"E IOWA AVE","E","5  Major Collector","1    Asphalt",30,4,2,10,4100,3,0.48,0.54,5510
"52",0.12,"S TEJON ST","S","5  Major Collector","1    Asphalt",36,4,2,10,1900,3,0.28,0.4,5400
"53",0.09,"MARKET ST","NE","4  Minor Arterial","1    Asphalt",40,1,2,12,7100,1,0.83,0.92,1696
"54",0.02,"20TH ST","NW","4  Minor Arterial","1    Asphalt",62,4,4,9,17000,1,0.44,0.46,526
"55",0.105,"N JOSEPHINE ST","NW","4  Minor Arterial","1    Asphalt",32,4,2,10,17000,3,0.53,0.635,1069
"56",0.05,"N CROWN BLVD","NE","5  Major Collector","1    Asphalt",44,4,2,10,2600,3,0.68,0.73,5522
"57",0.1,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",34,4,4,10,10000,0,1.8,1.9,22
"58",0.06,"E 38TH AVE","E","5  Major Collector","1    Asphalt",40,4,2,11,2200,3,0.36,0.42,5838
"59",0.07,"W 13TH AVE","W","5  Major Collector","1    Asphalt",50,4,2,10,7900,1,1.28,1.35,5862
"60",0.05,"S ULSTER ST","S","4  Minor Arterial","1    Asphalt",100,4,4,11,8000,4,0.27,0.32,6337
"61",0.06,"E 38TH AVE","E","5  Major Collector","1    Asphalt",40,4,2,11,2200,3,0.72,0.78,5491
"62",0.1,"S MONACO STREET PKWY","S","4  Minor Arterial","1    Asphalt",78,1,5,10,25000,1,0.26,0.36,1128
"63",0.03,"E SMITH RD","E","4  Minor Arterial","1    Asphalt",22,1,2,11,5800,3,0.72,0.75,983
"64",0.06,"W JEWELL AVE","W","4  Minor Arterial","1    Asphalt",48,4,2,12,12000,0,1.6,1.66,1791
"65",0.05,"N CROWN BLVD","NE","5  Major Collector","1    Asphalt",36,4,2,10,2000,3,2.045,2.095,5612
"66",0.1,"S IRVING ST","S","5  Major Collector","1    Asphalt",40,4,2,10,4100,3,1.1,1.2,3910
"67",0.06,"E 26TH AVE","E","5  Major Collector","1    Asphalt",60,4,2,10,5400,3,0.24,0.3,5736
"68",0.05,"W EVANS AVE","W","3  Principal Arterial - Other","1    Asphalt",52,2.5,4,12,30000,0,0.7,0.75,1639
"69",0.05,"E JEWELL AVE","E","5  Major Collector","1    Asphalt",40,4,2,10,3400,3,1.05,1.1,4939
"70",0.01,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,4,10,27000,1,3.09,3.1,465
"71",0.06,"E 1ST AVE","E","5  Major Collector","1    Asphalt",62,4,4,10,11000,0,1.42,1.48,5092
"72",0.06,"E 26TH AVE","E","5  Major Collector","1    Asphalt",60,4,2,10,5400,3,1.15,1.21,5645
"73",0.12,"S WASHINGTON ST","S","4  Minor Arterial","1    Asphalt",32,4,2,10,5300,3,0.36,0.48,1200
"74",0.05,"W DARTMOUTH AVE","W","5  Major Collector","1    Asphalt",48,4,2,12,12000,1,0.9,0.95,3863
"75",0.05,"W JEWELL AVE","W","4  Minor Arterial","1    Asphalt",48,4,2,12,12000,0,2.34,2.39,1134
"76",0.025,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,7,12,32000,3,2.4,2.425,84
"77",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",40,4,3,10,8700,1,0.77,0.83,1895
"78",0.1,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",48,4,2,10,11000,3,1.468,1.568,3101
"79",0.07,"E 47TH AVE","E","5  Major Collector","1    Asphalt",44,1,2,10,14000,3,0.793,0.863,5261
"80",0.06,"E ALAMEDA AVE","E","4  Minor Arterial","1    Asphalt",52,4,4,10,23000,0,0.12,0.18,2300
"81",0.06,"N BRYANT ST","N","5  Major Collector","1    Asphalt",40,1,2,11,8800,3,0.11,0.17,3990
"82",0.05,"S TAMARAC STREET PKWY","S","4  Minor Arterial","3    Concrete",36,4,4,12,22000,1,0.15,0.2,6547
"83",0.08,"N WASHINGTON ST","N","3  Principal Arterial - Other","1    Asphalt",40,1,2,10,22000,0,1,1.08,1328
"84",0.025,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,4,10,30000,3,1.8,1.825,557
"85",0.06,"E 38TH AVE","E","5  Major Collector","1    Asphalt",40,4,2,11,2200,3,1.35,1.41,5781
"86",0.06,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,5,10,29000,0,0.43,0.49,287
"87",0.13,"S MONACO ST","S","4  Minor Arterial","1    Asphalt",72,4,6,10,15000,3,0.775,0.905,3217
"88",0.07,"22ND ST","NW","3  Principal Arterial - Other","3    Concrete",48,2.5,3,12,21000,1,0.5,0.57,6473
"89",0.12,"S IRVING ST","S","5  Major Collector","1    Asphalt",40,4,2,10,4100,3,1.47,1.59,3702
"90",0.13,"N MONACO STREET PKWY","N","4  Minor Arterial","1    Asphalt",56,4,4,10,10000,3,3.485,3.615,1522
"91",0.06,"N PECOS ST","N","4  Minor Arterial","1    Asphalt",34,4,2,10,14000,3,1.63,1.69,858
"92",0.05,"E ALBROOK DR","SE","5  Major Collector","1    Asphalt",44,4,2,10,5900,3,0.59,0.64,5936
"93",0.07,"E MAXWELL PL","E","5  Major Collector","1    Asphalt",60,4,2,10,3500,3,0.28,0.35,4672
"94",0.11,"N CLARKSON ST","N","4  Minor Arterial","1    Asphalt",32,4,2,12,3800,3,0.865,0.975,990
"95",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,2,10,10000,3,1.23,1.26,3175
"96",0.05,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,4,12,20000,3,0.5,0.55,316
"97",0.1,"E 75TH AVE","E","5  Major Collector","1    Asphalt",20,4,2,12,8700,2,1.64,1.74,5171
"98",0.07,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,4,10,37000,1,1.3,1.37,733
"99",0.07,"E 35TH AVE","E","5  Major Collector","1    Asphalt",36,4,2,10,2100,3,0.06,0.13,5410
"100",0.31,"E CHERRY CREEK SOUTH DR","SE","4  Minor Arterial","1    Asphalt",24,1,2,10,6200,3,0,0.31,6273
"101",0.09,"N DENARGO ST","N","5  Major Collector","1    Asphalt",40,1,2,12,4900,3,0.05,0.14,4907
"102",0.08,"W 17TH AVE","W","5  Major Collector","1    Asphalt",28,4,2,12,7100,3,0,0.08,5051
"103",0.06,"E 6TH AVENUE PKWY","E","4  Minor Arterial","1    Asphalt",140,4,4,10,17000,1,0.63,0.69,2330
"104",0.1,"15TH ST","NW","4  Minor Arterial","1    Asphalt",50,2.5,4,10,12000,1,1.67,1.77,1167
"105",0.07,"W 46TH AVE","W","5  Major Collector","1    Asphalt",38,4,2,11,6500,3,1.28,1.35,3514
"106",0.019,"E 56TH AVE","E","3  Principal Arterial - Other","3    Concrete",24,4,5,12,25000,2,0.6,0.619,6429
"107",0.08,"N ZUNI ST","N","5  Major Collector","1    Asphalt",38,2.5,2,11,11000,1,0.82,0.9,3992
"108",0.06,"14TH ST","NW","4  Minor Arterial","1    Asphalt",52,1,4,10,3300,3,0.19,0.25,1706
"109",0.06,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",72,4,6,12,20000,3,0.8,0.86,501
"110",0.02,"N HOLLY ST","N","5  Major Collector","1    Asphalt",32,2.5,2,10,13000,3,0.64,0.66,3788
"111",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,6,10,31000,0,0.1,0.11,536
"112",0.09,"CURTIS ST","NE","5  Major Collector","1    Asphalt",44,4,2,12,580,3,0,0.09,5084
"113",0.48,"N PICADILLY RD","N","4  Minor Arterial","1    Asphalt",20,2.5,2,10,3400,1,0.39,0.87,3286
"114",0.05,"ARAPAHOE ST","NE","5  Major Collector","1    Asphalt",40,2.5,2,12,1300,2,0.6,0.65,3747
"115",0.1,"E 75TH AVE","E","5  Major Collector","1    Asphalt",30,2.5,2,12,8700,2,0.94,1.04,5163
"116",0.04,"E 45TH AVE","E","5  Major Collector","1    Asphalt",36,4,2,10,5700,3,0.23,0.27,5121
"117",0.01,"E MISSISSIPPI AVE","E","3  Principal Arterial - Other","1    Asphalt",26,1,6,11,24000,2,0.6,0.61,29
"118",0.06,"S LIPAN ST","S","5  Major Collector","1    Asphalt",40,4,2,10,4700,3,0.9,0.96,3662
"119",0.08,"W 8TH AVE","W","4  Minor Arterial","1    Asphalt",52,4,3,10,11000,3,3.17,3.25,1942
"120",0.06,"S TEJON ST","S","5  Major Collector","1    Asphalt",36,4,2,10,3000,3,1.21,1.27,4934
"121",0.06,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,3,11,20000,3,1.54,1.6,1820
"122",0.06,"E 38TH AVE","E","5  Major Collector","1    Asphalt",40,4,2,11,2200,3,1.41,1.47,5748
"123",0.09,"WALNUT ST","NE","4  Minor Arterial","1    Asphalt",32,1,2,12,7100,1,0.09,0.18,2281
"124",0.08,"PARK AVE","NW","4  Minor Arterial","1    Asphalt",60,4,4,10,15000,3,0.59,0.67,1317
"125",0.08,"N MEADE ST","N","5  Major Collector","1    Asphalt",28,4,2,10,2900,3,0.08,0.16,4669
"126",0.06,"N UNIVERSITY BLVD","N","4  Minor Arterial","1    Asphalt",36,4,2,10,14000,2,0.57,0.63,1966
"127",0.06,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,3,10,24000,0,0.89,0.95,369
