"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"1175",0.03,"N SANTA FE DR","N","4  Minor Arterial","1    Asphalt",20,4,3,10,19000,3,0.09,0.12,888
"1176",0.08,"N SANTA FE DR","N","4  Minor Arterial","1    Asphalt",40,1,3,10,19000,3,0,0.08,3115
"1177",0.047,"E 47TH AVENUE DR","SE","5  Major Collector","1    Asphalt",36,4,2,10,2100,3,0,0.047,5565
"1178",0.06,"E 8TH AVE","E","4  Minor Arterial","1    Asphalt",44,1,2,10,12000,1,1.745,1.805,2693
"1179",0.08,"N IRVING ST","N","5  Major Collector","1    Asphalt",28,1,2,11,4000,3,0.81,0.89,3531
"1180",0.145,"N CROWN BLVD","NE","5  Major Collector","1    Asphalt",36,4,2,10,2000,3,1.68,1.825,5790
"1181",0.01,"N YORK ST","N","4  Minor Arterial","1    Asphalt",40,4,2,10,6700,3,3.86,3.87,1598
"1182",0.02,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,26000,2,0.08,0.1,213
"1183",0.09,"N STEELE ST","N","5  Major Collector","1    Asphalt",40,4,2,10,19000,0,1.35,1.44,3564
"1184",0.04,"S BROADWAY","S","3  Principal Arterial - Other","3    Concrete",62,2.5,4,12,25000,0,2.2,2.24,6551
"1185",0.05,"ARAPAHOE ST","NE","5  Major Collector","1    Asphalt",40,2.5,2,12,1300,2,1.01,1.06,4997
"1186",0.09,"N BROADWAY","N","3  Principal Arterial - Other","3    Concrete",72,4,5,10,28000,1,2.71,2.8,6476
"1187",0.01,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,30000,1,0.8,0.81,1088
"1188",0.08,"N ZUNI ST","N","5  Major Collector","1    Asphalt",54,4,2,10,11000,3,0,0.08,4721
"1189",0.1,"N CORONA ST","N","4  Minor Arterial","1    Asphalt",32,2.5,2,10,4300,3,0.745,0.845,2761
"1190",0.09,"W 38TH AVE","W","4  Minor Arterial","1    Asphalt",68,4,4,10,21000,3,1.195,1.285,1161
"1191",0.06,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,3,10,18000,0,2.34,2.4,859
"1192",0.01,"S STEELE ST","S","5  Major Collector","1    Asphalt",20,4,2,10,3800,3,1.26,1.27,3572
"1193",0.01,"W EVANS AVE","W","3  Principal Arterial - Other","1    Asphalt",20,2.5,4,12,32000,1,0.31,0.32,1071
"1194",0.29,"STOUT ST","NE","4  Minor Arterial","1    Asphalt",30,4,3,10,6400,1,0.04,0.33,6343
"1195",0.04,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",56,4,4,12,21000,4,1.35,1.39,503
"1196",0.04,"N ZUNI ST","N","5  Major Collector","1    Asphalt",54,4,4,11,11000,1,0.12,0.16,3927
"1197",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,3,10,8400,1,2.57,2.63,2095
"1198",0.09,"STOUT ST","NE","4  Minor Arterial","1    Asphalt",48,1,3,10,9100,1,0.42,0.51,2541
"1199",0.08,"W 38TH AVE","W","4  Minor Arterial","1    Asphalt",68,4,4,10,21000,3,0.46,0.54,2439
"1200",0.02,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",60,4,5,10,30000,0,0.68,0.7,2864
"1201",0.037,"N BRIGHTON BLVD","NE","4  Minor Arterial","1    Asphalt",32,4,2,12,6200,4,0,0.037,979
"1202",0.01,"N BROADWAY","N","3  Principal Arterial - Other","1    Asphalt",72,2.5,4,10,24000,1,1.36,1.37,3152
"1203",0.06,"S IRVING ST","S","5  Major Collector","1    Asphalt",40,4,2,10,4100,3,0.91,0.97,4151
"1204",0.03,"19TH ST","NW","4  Minor Arterial","1    Asphalt",66,4,4,10,8500,0,0.56,0.59,2284
"1205",0.04,"W 11TH AVE","W","5  Major Collector","1    Asphalt",36,1,2,10,8900,3,0.71,0.75,5518
"1206",0.06,"W 52ND AVE","W","4  Minor Arterial","1    Asphalt",28,4,2,10,6000,3,0.06,0.12,6313
"1207",0.06,"E 29TH AVE","E","5  Major Collector","1    Asphalt",36,2.5,3,11,3400,3,0,0.06,5495
"1208",0.09,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,32000,3,0.4,0.49,490
"1209",0.07,"E 23RD AVE","E","4  Minor Arterial","1    Asphalt",34,4,2,10,13000,3,0.24,0.31,2116
"1210",0.04,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,3,10,24000,0,0.83,0.87,656
"1211",0.1,"S DTC BLVD","S","4  Minor Arterial","3    Concrete",36,4,4,12,32000,4,0.16,0.26,6583
"1212",0.03,"W EVANS AVE","W","3  Principal Arterial - Other","1    Asphalt",60,2.5,4,12,30000,0,0.8,0.83,2022
"1213",0.06,"E ILIFF AVE","E","5  Major Collector","1    Asphalt",32,4,2,10,4100,3,0.73,0.79,4327
"1214",0.07,"E MISSISSIPPI AVE","NE","3  Principal Arterial - Other","3    Concrete",60,4,6,11,21000,0,0.3,0.37,6496
"1215",0.06,"E 26TH AVE","E","5  Major Collector","1    Asphalt",36,2.5,2,10,5900,3,0.59,0.65,5135
"1216",0.058,"E 17TH AVE","E","5  Major Collector","1    Asphalt",68,4,4,12,23000,3,2.392,2.45,5176
"1217",0.03,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",40,1,2,10,11000,3,2.068,2.098,1252
"1218",0.03,"W EVANS AVE","W","3  Principal Arterial - Other","1    Asphalt",60,2.5,4,12,30000,0,0.87,0.9,2826
"1219",0.12,"N WASHINGTON ST","N","4  Minor Arterial","1    Asphalt",32,2.5,2,10,5300,3,0,0.12,3188
"1220",0.03,"E 3RD AVE","E","5  Major Collector","1    Asphalt",34,2.5,2,10,5300,3,1.15,1.18,5167
"1221",0.01,"E ALAMEDA AVE","E","4  Minor Arterial","1    Asphalt",40,4,4,10,23000,0,0.79,0.8,2391
"1222",0.05,"W 52ND AVE","W","5  Major Collector","1    Asphalt",34,2.5,2,10,3500,3,0.54,0.59,5874
"1223",0.14,"S RALEIGH ST","S","5  Major Collector","1    Asphalt",44,4,2,11,3600,3,1.02,1.16,5682
"1224",0.008,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,2,10,8100,3,0.652,0.66,413
"1225",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",58,4,2,10,24000,2,1,1.1,203
"1226",0.05,"W SARATOGA PL","W","5  Major Collector","1    Asphalt",36,4,2,10,1800,3,0.525,0.575,5542
"1227",0.06,"E 16TH AVE","E","5  Major Collector","1    Asphalt",36,4,3,12,3600,3,0.47,0.53,5226
"1228",0.04,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,27000,0,1,1.04,1546
"1229",0.07,"E 6TH AVENUE PKWY","E","4  Minor Arterial","1    Asphalt",140,4,4,10,17000,1,1.04,1.11,1037
"1230",0.06,"E FLORIDA AVE","E","4  Minor Arterial","1    Asphalt",30,2.5,2,10,5500,3,0.475,0.535,2469
"1231",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,4,10,29000,0,0.24,0.3,139
"1232",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,10000,3,2.36,2.42,1259
"1233",0.06,"E 47TH AVE","E","5  Major Collector","1    Asphalt",34,4,2,10,4400,3,0.16,0.22,5189
"1234",0.03,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,3,10,22000,3,2.37,2.4,1436
"1235",0.07,"E 35TH AVE","E","5  Major Collector","1    Asphalt",30,2.5,2,10,2100,3,0.93,1,5508
"1236",0.06,"W 3RD AVE","W","5  Major Collector","1    Asphalt",32,2.5,2,10,4800,3,0.29,0.35,4901
"1237",0.05,"E JEWELL AVE","E","5  Major Collector","1    Asphalt",40,4,2,10,3400,3,1.27,1.32,4103
"1238",0.12,"S MONACO STREET PKWY","S","4  Minor Arterial","1    Asphalt",76,2.5,4,10,14000,3,2.95,3.07,6154
"1239",0.05,"E JEWELL AVE","E","5  Major Collector","1    Asphalt",36,4,2,10,3400,3,0.6,0.65,4895
"1240",0.06,"E MEXICO AVE","E","5  Major Collector","1    Asphalt",52,1,2,10,8000,3,0.76,0.82,4814
"1241",0.04,"W 8TH AVE","W","3  Principal Arterial - Other","1    Asphalt",52,4,4,10,30000,1,2.96,3,1654
"1242",0.05,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,4,10,27000,1,2.85,2.9,427
"1243",0.12,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",32,4,2,10,20000,3,0.24,0.36,863
"1244",0.07,"E 26TH AVENUE PKWY","E","5  Major Collector","1    Asphalt",60,4,2,10,5900,3,1.43,1.5,5628
"1245",0.07,"S QUEBEC ST","S","4  Minor Arterial","1    Asphalt",28,4,2,10,27000,3,0.6,0.67,3199
"1246",0.1,"S LAMAR ST","S","5  Major Collector","1    Asphalt",40,4,2,11,1400,3,0.31,0.41,4362
"1247",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",40,4,3,10,8700,1,1.61,1.67,1716
"1248",0.06,"S STEELE ST","S","5  Major Collector","1    Asphalt",32,4,2,10,5000,3,0.06,0.12,5861
"1249",0.02,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,4,4,10,35000,1,0.98,1,582
"1250",0.01,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,4,10,23000,0,0.46,0.47,576
"1251",0.02,"BLAKE ST","NE","4  Minor Arterial","1    Asphalt",44,4,3,12,7800,0,2.06,2.08,1817
"1252",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,3,10,10000,3,0.64,0.7,3114
"1253",0.07,"E 17TH AVE","E","5  Major Collector","1    Asphalt",54,4,4,10,16000,3,0,0.07,5159
"1254",0.005,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,4,10,30000,3,1.6,1.605,225
"1255",0.12,"S LOGAN ST","S","4  Minor Arterial","1    Asphalt",40,4,2,10,9900,3,2.26,2.38,2956
"1256",0.09,"W 29TH AVE","W","4  Minor Arterial","1    Asphalt",44,4,2,10,8500,3,0.875,0.965,3060
"1257",0.1,"N HAVANA WAY","NW","3  Principal Arterial - Other","1    Asphalt",28,4,2,10,7600,0,0,0.1,185
"1258",0.03,"E 35TH AVE","E","5  Major Collector","1    Asphalt",34,4,2,10,4700,3,2.64,2.67,6144
"1259",0.06,"S BROADWAY","S","3  Principal Arterial - Other","3    Concrete",72,4,5,10,24000,1,0,0.06,6538
"1260",0.06,"W 1ST AVE","W","5  Major Collector","1    Asphalt",48,4,2,11,6200,3,0.63,0.69,4609
"1261",0.02,"W OXFORD AVE","W","5  Major Collector","1    Asphalt",36,2.5,2,10,8600,3,0.06,0.08,5536
"1262",0.07,"E ILIFF AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,5,10,34000,0,0,0.07,245
"1263",0.01,"W 13TH AVE","W","5  Major Collector","1    Asphalt",20,4,2,10,7900,1,1.44,1.45,5976
"1264",0.06,"W EXPOSITION AVE","W","5  Major Collector","1    Asphalt",36,4,2,12,2300,3,0.06,0.12,3679
"1265",0.02,"E 40TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,4,10,10000,0,1.16,1.18,2888
"1266",0.01,"W JEWELL AVE","W","5  Major Collector","1    Asphalt",48,1,2,11,6400,1,0.36,0.37,3842
"1267",0.04,"S GLENCOE ST","S","5  Major Collector","1    Asphalt",36,4,2,12,510,2,0.22,0.26,4711
"1268",0.02,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",48,4,4,10,10000,1,1.7,1.72,2928
"1269",0.02,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,7,12,32000,3,2.265,2.285,450
"1270",0.015,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,4,12,32000,3,1.885,1.9,665
"1271",0.05,"W EVANS AVE","W","5  Major Collector","1    Asphalt",48,4,2,10,13000,2,1.1,1.15,5086
"1272",0.06,"W 38TH AVE","W","4  Minor Arterial","1    Asphalt",68,2.5,4,12,22000,1,1.785,1.845,1670
"1273",0.04,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",106,4,7,10,32000,3,0.06,0.1,614
"1274",0.06,"W 48TH AVE","W","5  Major Collector","1    Asphalt",30,4,2,10,4500,3,1.57,1.63,3313
"1275",0.06,"S HOLLY ST","S","4  Minor Arterial","1    Asphalt",52,2.5,2,10,17000,3,2.38,2.44,1090
"1276",0.07,"S SYRACUSE ST","S","5  Major Collector","1    Asphalt",36,4,4,11,12000,3,0.11,0.18,5427
"1277",0.07,"E 31ST AVE","E","4  Minor Arterial","1    Asphalt",44,4,2,10,6500,2,0.62,0.69,6220
"1278",0.08,"W YALE AVE","W","4  Minor Arterial","1    Asphalt",36,1,2,10,9100,3,1.4,1.48,1249
"1279",0.32,"S PLATTE RIVER DR","S","5  Major Collector","1    Asphalt",30,2.5,2,10,5100,3,0.92,1.24,3715
"1280",0.11,"N WASHINGTON ST","N","4  Minor Arterial","1    Asphalt",32,4,2,10,3800,3,1.835,1.945,1798
"1281",0.05,"S TEJON ST","S","5  Major Collector","1    Asphalt",36,4,2,10,3000,3,1.38,1.43,4836
"1282",0.025,"N CHAMBERS RD","N","4  Minor Arterial","1    Asphalt",24,4,2,10,34000,2,0,0.025,6262
"1283",0.08,"W 11TH AVE","W","5  Major Collector","1    Asphalt",48,4,3,10,9200,3,0,0.08,4596
"1284",0.01,"15TH ST","NW","4  Minor Arterial","1    Asphalt",50,2.5,4,10,12000,1,1.63,1.64,2403
"1285",0.01,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,5,10,29000,0,0.49,0.5,39
"1286",0.06,"E VIRGINIA AVE","E","5  Major Collector","1    Asphalt",40,4,2,10,4700,3,0.97,1.03,3833
"1287",0.11,"N LOGAN ST","N","4  Minor Arterial","1    Asphalt",38,1,2,10,6800,1,1.84,1.95,1552
"1288",0.08,"N SANTA FE DR","N","4  Minor Arterial","1    Asphalt",48,4,3,10,19000,3,1.64,1.72,3176
"1289",0.03,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,29000,0,0.82,0.85,721
"1290",0.06,"E 35TH AVE","E","5  Major Collector","1    Asphalt",34,4,2,10,4700,3,2.67,2.73,5487
"1291",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,6900,3,3.26,3.32,1961
"1292",0.16,"MORRISON RD","SW","4  Minor Arterial","1    Asphalt",48,4,2,10,13000,3,1.14,1.3,1432
"1293",0.06,"E 35TH AVE","E","5  Major Collector","1    Asphalt",30,2.5,2,10,2100,3,1.4,1.46,5776
"1294",0.03,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,3,10,8400,1,2.9,2.93,2955
"1295",0.05,"E HALE PKWY","SE","5  Major Collector","1    Asphalt",110,4,4,12,5800,3,0.38,0.43,4910
"1296",0.06,"S IRVING ST","S","5  Major Collector","1    Asphalt",40,2.5,2,10,4100,3,3.085,3.145,4460
"1297",0.13,"N SYRACUSE ST","N","5  Major Collector","1    Asphalt",28,4,2,10,6300,3,0.97,1.1,4896
"1298",0.11,"E FLORIDA AVE","E","4  Minor Arterial","1    Asphalt",36,4,2,10,5500,3,0.715,0.825,1044
"1299",0.01,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,3,10,22000,3,2.73,2.74,2843
"1300",0.01,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,4,10,33000,3,0.9,0.91,327
"1301",0.05,"S QUEBEC WAY","S","5  Major Collector","1    Asphalt",24,1,2,11,4700,3,0,0.05,4039
"1302",0.12,"S PERRY ST","S","5  Major Collector","1    Asphalt",36,4,2,10,3400,3,0.59,0.71,3800
"1303",0.07,"W 44TH AVE","W","4  Minor Arterial","1    Asphalt",34,4,2,10,6900,3,1.63,1.7,1311
"1304",0.06,"E 29TH AVE","E","5  Major Collector","1    Asphalt",40,4,2,11,3400,3,0.72,0.78,6011
"1305",0.015,"CHAMPA ST","NE","4  Minor Arterial","1    Asphalt",36,4,1,12,7800,2,0.675,0.69,837
"1306",0.11,"N SANTA FE DR","N","4  Minor Arterial","1    Asphalt",52,4,3,10,19000,3,0.62,0.73,1205
"1307",0.03,"N DOWNING ST","N","4  Minor Arterial","1    Asphalt",48,4,2,10,4700,3,1.669,1.699,6310
"1308",0.06,"E TUFTS AVE","NE","4  Minor Arterial","1    Asphalt",85,4,4,11,7200,3,0.09,0.15,6384
"1309",0.02,"E 40TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,4,10,10000,0,1.24,1.26,1768
"1310",0.1,"S HOLLY ST","S","5  Major Collector","1    Asphalt",44,2.5,2,10,15000,3,0.92,1.02,4038
"1311",0.06,"E LOUISIANA AVE","E","5  Major Collector","1    Asphalt",48,4,2,10,3700,3,0.59,0.65,5049
"1312",0.09,"N DOWNING ST","N","4  Minor Arterial","1    Asphalt",34,2.5,2,10,4700,3,1.189,1.279,2296
"1313",0.02,"E 24TH AVE","E","5  Major Collector","1    Asphalt",36,4,2,13,140,0,0.28,0.3,6013
"1314",0.1,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",30,4,2,10,33000,0,3.5,3.6,1693
"1315",0.1,"ARAPAHOE ST","NE","5  Major Collector","1    Asphalt",40,2.5,2,12,1300,2,0.19,0.29,3316
"1316",0.01,"AURARIA PKWY","N","3  Principal Arterial - Other","1    Asphalt",20,4,2,10,34000,0,0.7,0.71,1852
"1317",0.1,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,27000,0,0.7,0.8,838
"1318",0.06,"N IRVING ST","N","4  Minor Arterial","1    Asphalt",46,4,4,10,2700,3,0.175,0.235,3212
"1319",0.06,"E 26TH AVENUE PKWY","E","5  Major Collector","1    Asphalt",60,4,2,10,5900,3,1.68,1.74,5805
"1320",0.09,"CURTIS ST","NE","5  Major Collector","1    Asphalt",44,4,2,12,2900,3,0.825,0.915,4474
"1321",0.13,"N BRYANT ST","N","5  Major Collector","1    Asphalt",22,4,2,14,650,3,0,0.13,4703
"1322",0.02,"N LOWELL BLVD","N","5  Major Collector","1    Asphalt",36,4,2,10,12000,3,2.465,2.485,4649
"1323",0.04,"S FIELD WAY","S","5  Major Collector","1    Asphalt",44,4,2,10,1800,3,0.05,0.09,5674
"1324",0.09,"BLAKE ST","NE","5  Major Collector","1    Asphalt",44,4,2,12,4200,3,0.7,0.79,3977
"1325",0.09,"WYNKOOP ST","NE","5  Major Collector","1    Asphalt",36,4,2,10,5900,3,0.26,0.35,3878
"1326",0.03,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",98,4,6,10,44000,1,0.02,0.05,556
"1327",0.09,"WALNUT ST","NE","5  Major Collector","1    Asphalt",32,4,2,12,6400,3,0.81,0.9,3322
"1328",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,3,10,10000,3,0.58,0.64,3003
"1329",0.05,"N IRVING ST","N","5  Major Collector","1    Asphalt",40,4,2,10,4900,3,0.04,0.09,4346
"1330",0.05,"E 44TH AVE","E","5  Major Collector","1    Asphalt",44,4,2,10,4900,3,0.29,0.34,5589
"1331",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,6900,3,3.54,3.57,2435
"1332",0.02,"E 18TH AVE","E","4  Minor Arterial","1    Asphalt",40,2.5,3,12,11000,1,1.21,1.23,945
"1333",0.13,"N SANTA FE DR","N","4  Minor Arterial","1    Asphalt",48,4,4,10,19000,3,1.51,1.64,2772
"1334",0.09,"S DAHLIA ST","S","5  Major Collector","1    Asphalt",36,4,2,12,4000,3,0.21,0.3,4826
"1335",0.16,"N TOWER RD","N","4  Minor Arterial","1    Asphalt",24,2.5,2,10,17000,4,0.51,0.67,1279
"1336",0.08,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,4,6,11,32000,0,0.9,0.98,749
"1337",0.02,"E 38TH AVE","E","5  Major Collector","1    Asphalt",40,4,2,11,2200,3,1.28,1.3,5757
"1338",0.09,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,22000,4,1.7,1.79,224
"1339",0.015,"W 52ND AVE","W","4  Minor Arterial","1    Asphalt",28,4,2,10,6000,3,0.45,0.465,6184
"1340",0.06,"E VIRGINIA AVE","E","5  Major Collector","1    Asphalt",32,4,2,10,4700,3,0.25,0.31,4220
"1341",0.09,"WELTON ST","NE","5  Major Collector","1    Asphalt",48,4,2,11,5600,3,1.16,1.25,3448
"1342",0.07,"E 35TH AVE","E","5  Major Collector","1    Asphalt",30,2.5,2,10,2100,3,1.13,1.2,5684
"1343",0.08,"N QUEBEC ST","N","4  Minor Arterial","1    Asphalt",48,4,4,10,17000,4,2.38,2.46,3268
"1344",0.12,"S PATTON CT","S","5  Major Collector","1    Asphalt",32,4,2,10,1100,3,0.08,0.2,5989
"1345",0.06,"W 17TH AVE","W","5  Major Collector","1    Asphalt",40,4,2,12,7100,3,0.54,0.6,4904
"1346",0.09,"N LOGAN ST","N","4  Minor Arterial","1    Asphalt",52,1,2,12,12000,3,0.19,0.28,6254
"1347",0.01,"N LOWELL BLVD","N","5  Major Collector","1    Asphalt",36,4,2,10,12000,3,2.485,2.495,4360
"1348",0.06,"W 38TH AVE","W","4  Minor Arterial","1    Asphalt",68,2.5,4,12,22000,1,1.845,1.905,2765
"1349",0.07,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",30,4,6,10,34000,0,2.13,2.2,2240
"1350",0.16,"N HOLLY ST","N","5  Major Collector","1    Asphalt",32,1,2,10,13000,3,0.33,0.49,4588
"1351",0.06,"E 35TH AVE","E","5  Major Collector","1    Asphalt",34,4,2,11,4700,3,3.09,3.15,5498
"1352",0.06,"W 48TH AVE","W","5  Major Collector","1    Asphalt",30,4,2,10,4500,3,1.75,1.81,3721
"1353",0.03,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",62,4,4,10,23000,2,1.07,1.1,534
"1354",0.01,"N BROADWAY","N","3  Principal Arterial - Other","1    Asphalt",72,2.5,5,10,37000,1,2.63,2.64,3022
"1355",0.02,"CHAMPA ST","NE","4  Minor Arterial","1    Asphalt",36,4,1,12,7800,2,0.27,0.29,2423
"1356",0.07,"E BOLLING DR","E","5  Major Collector","1    Asphalt",45,4,2,10,6200,3,0.22,0.29,6128
"1357",0.05,"E ALAMEDA AVE","E","4  Minor Arterial","1    Asphalt",44,4,4,10,23000,0,0.25,0.3,1526
"1358",0.03,"E 35TH AVE","E","5  Major Collector","1    Asphalt",34,4,2,10,4700,3,2.61,2.64,5533
"1359",0.02,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,6,10,37000,1,1.05,1.07,401
"1360",0.08,"E QUINCY AVE","E","4  Minor Arterial","1    Asphalt",28,4,2,10,13000,3,0.64,0.72,3279
"1361",0.05,"W JEWELL AVE","W","5  Major Collector","1    Asphalt",48,1,2,11,6400,1,0.64,0.69,4780
"1362",0.06,"S PATTON CT","S","5  Major Collector","1    Asphalt",36,1,2,10,1100,3,0.74,0.8,3929
"1363",0.04,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,4,10,23000,0,0.13,0.17,34
"1364",0.08,"W 23RD AVE","W","5  Major Collector","1    Asphalt",20,2.5,2,10,8500,2,0.13,0.21,3728
"1365",0.26,"W 48TH AVE","W","5  Major Collector","3    Concrete",40,4,2,10,8900,2,0.69,0.95,6570
"1366",0.12,"E SMITH RD","E","4  Minor Arterial","1    Asphalt",22,1,2,10,5800,3,1.53,1.65,2046
"1367",0.13,"N QUEBEC ST","N","4  Minor Arterial","1    Asphalt",123,1,6,10,21000,4,2.87,3,3288
"1368",0.03,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,3,10,8400,1,2.87,2.9,2751
"1369",0.04,"N PECOS ST","N","4  Minor Arterial","1    Asphalt",32,2.5,2,12,2200,2,0.2,0.24,877
"1370",0.03,"N BRIGHTON BLVD","NE","4  Minor Arterial","1    Asphalt",50,4,4,10,10000,4,1.37,1.4,2374
"1371",0.03,"W 52ND AVE","W","5  Major Collector","1    Asphalt",28,4,2,10,3500,3,1.05,1.08,5664
"1372",0.03,"N TEJON ST","N","5  Major Collector","1    Asphalt",32,4,2,10,4800,3,1.29,1.32,3984
"1373",0.1,"N BRIGHTON BLVD","NE","3  Principal Arterial - Other","1    Asphalt",50,4,4,10,16000,1,0.1,0.2,1302
"1374",0.12,"E UNION AVE","NE","5  Major Collector","1    Asphalt",48,4,2,10,6200,3,0.24,0.36,3755
"1375",0.08,"E BUCHTEL BLVD","SE","5  Major Collector","1    Asphalt",36,4,3,11,7600,1,0,0.08,4178
"1376",0.015,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",66,4,8,12,27000,0,1.385,1.4,571
"1377",0.06,"E LOUISIANA AVE","E","5  Major Collector","1    Asphalt",44,4,2,11,6000,3,0.48,0.54,4866
"1378",0.022,"E 17TH AVE","E","5  Major Collector","1    Asphalt",68,4,4,12,23000,3,2.25,2.272,5156
"1379",0.06,"W 44TH AVE","W","4  Minor Arterial","1    Asphalt",34,4,2,10,6900,3,1.27,1.33,855
"1380",0.06,"S LOWELL BLVD","S","5  Major Collector","1    Asphalt",48,1,2,10,2800,3,1.16,1.22,4926
"1381",0.03,"GREEN VALLEY RANCH BLVD","E","4  Minor Arterial","1    Asphalt",26,2.5,2,12,11000,2,0.5,0.53,6394
"1382",0.1,"S HOLLY ST","S","5  Major Collector","1    Asphalt",44,2.5,2,12,8900,2,2.63,2.73,4688
"1383",0.02,"E PRINCETON AVE","E","5  Major Collector","1    Asphalt",48,4,2,10,1900,3,0.34,0.36,5421
"1384",0.05,"E 35TH AVE","E","5  Major Collector","1    Asphalt",34,4,4,11,4700,3,3.69,3.74,5424
"1385",0.04,"W 13TH AVE","W","4  Minor Arterial","1    Asphalt",36,4,3,10,12000,3,0.45,0.49,1882
"1386",0.05,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",36,4,2,10,4800,3,0.12,0.17,2206
"1387",0.03,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,4,12,20000,3,0.07,0.1,68
"1388",0.09,"CURTIS ST","NE","5  Major Collector","1    Asphalt",48,4,3,12,4000,0,0.545,0.635,4618
"1389",0.06,"S IRVING ST","S","5  Major Collector","1    Asphalt",40,4,2,10,4100,3,0.37,0.43,4924
"1390",0.05,"E CORNELL AVE","E","5  Major Collector","1    Asphalt",36,2.5,2,10,2500,3,0.16,0.21,5640
"1391",0.06,"E 3RD AVE","E","5  Major Collector","1    Asphalt",34,4,2,10,5300,3,0.61,0.67,5184
"1392",0.09,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,4,10,33000,3,0.5,0.59,173
"1393",0.02,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",98,4,6,10,40000,1,0.2,0.22,391
"1394",0.02,"E 20TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,3,10,2500,0,0.516,0.536,2350
"1395",0.03,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,4,10,29000,0,0.7,0.73,505
