"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","IRI","THRULNQTY","THRULNWD","AADT","AADTDERIV","COUNTSTATI","BUILTYR","RUNLENGTH_","RUNLENGTH1"
"2419",0.1,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",65,1,395,4,10,39000,1,202001,1995,1.5,1.6
"2423",0.1,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",64,4,347,4,10,35000,0,107726,1995,4,4.1
"2429",0.1,"N JOSEPHINE ST","N","4  Minor Arterial","1    Asphalt",32,4,0,2,10,11000,2,107731,1995,0.765,0.865
"2431",0.06,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,130,3,10,24000,0,900084,1995,0.89,0.95
"2433",0.1,"PENA BLVD INBOUND","NE","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,113,4,11,98000,0,106559,1995,4.47,4.57
"2439",0.09,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,247,4,12,32000,3,900124,1995,2.005,2.095
"2442",0.03,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,195,5,10,25000,3,107769,1995,0.3,0.33
"2448",0.06,"S SYRACUSE WAY","S","4  Minor Arterial","1    Asphalt",24,4,0,2,10,10000,3,202014,1995,0.13,0.19
"2466",0.07,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,217,6,10,41000,1,202234,1995,1,1.07
"2467",0.05,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",98,4,470,6,10,40000,1,107772,1995,0.3,0.35
"2476",0.07,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,4,111,4,10,27000,1,202071,1995,2.73,2.8
"2480",0.025,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,145,4,10,25000,1,202031,1995,0.575,0.6
"2494",0.06,"W ALAMEDA AVE","W","3  Principal Arterial - Other","1    Asphalt",52,4,347,5,10,28000,1,201938,1995,0.2,0.26
"2511",0.05,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,100,4,10,22000,4,107768,1995,2.05,2.1
"2513",0.085,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,139,4,10,30000,3,202096,1995,2.615,2.7
"2514",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,361,4,12,29000,0,202147,1995,1.4,1.46
"2520",0.02,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,173,5,10,24000,1,900072,1995,0.18,0.2
"2523",0.05,"N KALAMATH ST","N","3  Principal Arterial - Other","1    Asphalt",52,4,194,3,10,39000,1,202126,1995,1.07,1.12
"2540",0.03,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,403,4,10,23000,1,201997,1995,2.97,3
"2551",0.05,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",78,4,127,6,10,35000,3,107744,1995,0.1,0.15
"2558",0.08,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,299,3,10,31000,3,202028,1995,0.02,0.1
"2560",0.01,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,174,4,10,33000,3,107746,1995,1.08,1.09
"2561",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,198,4,10,29000,0,202147,1995,0.3,0.36
"2585",0.02,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",98,4,272,6,10,40000,1,107772,1995,0.2,0.22
"2588",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,244,4,10,29000,0,202147,1995,2.2,2.26
"2595",0.01,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,159,4,10,23000,0,202052,1995,0.57,0.58
"2600",0.045,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,267,8,12,32000,3,900124,1995,2.155,2.2
"2609",0.03,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,253,4,12,20000,3,901631,1995,0.57,0.6
"2626",0.02,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,253,4,12,20000,3,901631,1995,0.55,0.57
"2631",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,104,4,10,22000,4,107768,1995,2.3,2.36
"2633",0.055,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,150,4,10,30000,3,202096,1995,2.8,2.855
"2634",0.08,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,168,4,10,29000,0,202147,1995,1.62,1.7
"2640",0.02,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,203,6,10,37000,1,901089,1995,1.05,1.07
"2643",0.005,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,112,8,10,25000,1,202031,1995,0.4,0.405
"2656",0.02,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,277,4,10,23000,1,201997,1995,3.08,3.1
"2668",0.01,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,408,2,10,8100,3,106744,1995,0.39,0.4
"2687",0.04,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,209,4,12,20000,3,901631,1995,0.1,0.14
"2691",0.05,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",96,4,221,6,12,52000,0,202235,1995,0.3,0.35
"2692",0.07,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,243,4,10,40000,1,107772,1995,0.13,0.2
"2694",0.025,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,211,4,10,30000,3,202096,1995,2.075,2.1
"2695",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,208,4,10,29000,0,202147,1995,2.34,2.4
"2701",0.06,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",34,4,88,4,10,10000,0,202083,1995,1.94,2
"2705",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,145,4,10,25000,1,202031,1995,0.515,0.575
"2718",0.07,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,403,4,10,24000,0,201998,1995,2.9,2.97
"2730",0.008,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,247,2,10,8100,3,106744,1995,0.652,0.66
"2735",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,133,4,10,22000,4,107768,1995,1.6,1.66
"2737",0.08,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,155,4,10,33000,3,107746,1995,1.3,1.38
"2738",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,155,4,10,29000,0,202147,1995,1.78,1.8
"2744",0.1,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,2.5,78,6,11,10000,0,202083,1995,1,1.1
"2746",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",24,4,94,2,12,20000,4,902075,1995,0,0.1
"2748",0.07,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,1,134,4,10,26000,1,900085,1995,0.12,0.19
"2757",0.1,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,44,4,11,115000,4,106558,1995,2.47,2.57
"2760",0.1,"PENA BLVD INBOUND","E","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,130,4,11,97000,4,106560,1995,0.5,0.6
"2767",0.05,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,307,4,10,37000,0,202000,1995,1.85,1.9
"2776",0.09,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",48,4,203,4,12,40000,3,900101,1995,0.11,0.2
"2782",0.05,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,261,3,10,31000,3,202028,1995,0.12,0.17
"2784",0.05,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",44,4,183,4,10,35000,3,107744,1995,0.2,0.25
"2785",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,189,4,10,29000,0,202147,1995,0.4,0.42
"2807",0.09,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,277,4,10,36000,1,202406,1995,1,1.09
"2810",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,374,4,10,53000,4,901106,1995,2.94,3
"2817",0.05,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,145,4,10,27000,1,202071,1995,2.85,2.9
"2822",0.045,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,234,4,12,27000,0,901637,1995,1.655,1.7
"2825",0.05,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,249,4,10,25000,1,202031,1995,1,1.05
"2827",0.1,"PENA BLVD INBOUND","E","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,113,4,11,129000,3,106561,1995,3.6,3.7
"2844",0.04,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,1,165,6,10,40000,1,106564,1995,3.73,3.77
"2849",0.08,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,263,5,10,29000,0,202073,1995,0.9,0.98
"2852",0.05,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,281,4,12,20000,3,901631,1995,0.35,0.4
"2858",0.1,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,101,4,10,22000,4,107768,1995,2.2,2.3
"2860",0.005,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,123,4,10,30000,3,202096,1995,2.395,2.4
"2861",0.01,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,334,4,12,29000,0,202147,1995,1.3,1.31
"2868",0.036,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,213,2,10,19000,2,202200,1995,3,3.036
"2869",0.01,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,1,134,4,10,26000,1,900085,1995,0.19,0.2
"2883",0.025,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,206,4,10,23000,1,201997,1995,3.2,3.225
"2896",0.04,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,473,2,10,8100,3,106744,1995,0.46,0.5
"2901",0.08,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,226,3,10,31000,3,202028,1995,0.21,0.29
"2903",0.04,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,141,4,10,33000,3,107746,1995,1.1,1.14
"2904",0.05,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,185,4,10,29000,0,202147,1995,0.5,0.55
"2909",0.09,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,4,73,6,11,32000,0,900561,1995,0.7,0.79
"2911",0.086,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,186,2,10,24000,2,900538,1995,1.4,1.486
"2913",0.06,"N HAVANA WAY","NW","3  Principal Arterial - Other","1    Asphalt",28,4,207,2,10,7600,0,203017,1995,0.6,0.66
"2921",0.06,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,48,6,11,122000,1,900096,1995,1.51,1.57
"2923",0.1,"PENA BLVD INBOUND","NE","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,114,4,11,98000,0,106559,1995,4.17,4.27
"2931",0.08,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",52,4,285,4,10,29000,0,201999,1995,2.4,2.48
"2935",0.07,"N HAVANA WAY","NW","3  Principal Arterial - Other","1    Asphalt",28,4,245,2,10,7600,0,203017,1995,0.43,0.5
"2942",0.03,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,157,5,10,31000,0,901639,1995,0.4,0.43
"2944",0.02,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,145,4,11,115000,4,106558,1995,3.07,3.09
"2949",0.085,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,151,4,12,32000,3,900124,1995,1.8,1.885
"2965",0.02,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,197,7,12,32000,3,900124,1995,2.265,2.285
"2967",0.02,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,174,4,10,33000,3,107746,1995,1.04,1.06
"2968",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,275,4,10,29000,0,202147,1995,0.18,0.2
"2973",0.04,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",54,4,211,4,11,43000,1,900537,1995,0.42,0.46
"2975",0.076,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,225,2,10,24000,2,900538,1995,1.9,1.976
"2976",0.02,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,4,376,5,10,26000,1,900085,1995,0.6,0.62
"2981",0.12,"S LOGAN ST","S","4  Minor Arterial","1    Asphalt",40,4,0,2,10,9900,3,202047,1995,0.89,1.01
"2988",0.08,"PENA BLVD INBOUND","NE","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,93,4,11,98000,0,106559,1995,3.69,3.77
"2995",0.1,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,376,4,10,24000,0,201998,1995,2.6,2.7
"2999",0.04,"N HAVANA WAY","NW","3  Principal Arterial - Other","1    Asphalt",28,4,207,2,10,18000,0,105889,1995,0.66,0.7
"3006",0.04,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,183,6,10,31000,0,901639,1995,0.06,0.1
"3012",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,178,4,10,25000,1,202031,1995,0.89,0.9
"3015",0.05,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,164,4,10,26000,2,900118,1995,0.2,0.25
"3036",0.03,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,217,6,10,41000,1,202234,1995,1.07,1.1
"3038",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",62,4,277,4,10,32000,3,202398,1995,0.49,0.5
"3041",0.03,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,1,374,4,10,53000,4,901106,1995,2.91,2.94
"3048",0.01,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,116,4,10,27000,1,202071,1995,3.09,3.1
"3053",0.01,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",62,2.5,152,4,10,27000,1,107447,1995,1.5,1.51
"3068",0.04,"W ALAMEDA AVE","W","3  Principal Arterial - Other","1    Asphalt",52,4,138,4,10,28000,1,201938,1995,0.35,0.39
"3073",0.03,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",33,1,188,8,10,45000,0,202077,1995,3.4,3.43
"3080",0.06,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,209,4,12,20000,3,901631,1995,0.14,0.2
"3086",0.07,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,1,174,4,10,25000,3,107769,1995,2.5,2.57
"3088",0.035,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,112,4,10,30000,3,202096,1995,1.7,1.735
"3089",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,197,4,10,29000,0,202147,1995,0.91,0.97
"3095",0.06,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,149,5,10,24000,1,900072,1995,0.24,0.3
"3097",0.086,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,139,2,10,19000,2,202200,1995,2.9,2.986
"3098",0.09,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",62,4,153,4,10,23000,2,900088,1995,1.2,1.29
"3113",0.08,"E WALSH PL","S","3  Principal Arterial - Other","1    Asphalt",36,2.5,332,3,10,13000,1,201996,1995,0,0.08
"3125",0.07,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,408,2,10,8100,3,106744,1995,0.32,0.39
"3133",0.02,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",44,4,235,4,10,33000,3,107746,1995,0.48,0.5
"3134",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,275,4,10,29000,0,202147,1995,0.12,0.18
"3140",0.1,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",34,4,64,4,10,10000,0,202083,1995,1.7,1.8
"3142",0.074,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,346,2,10,24000,2,900538,1995,1.826,1.9
"3143",0.08,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,388,4,10,46000,3,107725,1995,3.6,3.68
"3161",0.08,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",65,1,230,4,10,39000,1,202001,1995,1.71,1.79
"3165",0.1,"N HAVANA WAY","NW","3  Principal Arterial - Other","1    Asphalt",28,4,215,2,10,7600,0,203017,1995,0.1,0.2
"3172",0.07,"PARK AVE W","NW","3  Principal Arterial - Other","1    Asphalt",48,2.5,281,4,10,10000,1,900093,1995,0.82,0.89
"3174",0.1,"PENA BLVD INBOUND","NE","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,165,4,11,98000,0,106559,1995,5.57,5.67
"3180",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,178,4,10,25000,1,202031,1995,0.8,0.81
"3182",0.1,"E MISSISSIPPI AVE","E","3  Principal Arterial - Other","1    Asphalt",26,1,207,6,11,24000,2,107452,1995,0.5,0.6
"3183",0.06,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,189,4,10,26000,2,900118,1995,0.12,0.18
"3208",0.04,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,270,3,12,52000,0,202235,1995,0.1,0.14
"3209",0.09,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,277,4,10,32000,3,202398,1995,0.4,0.49
"3212",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,386,4,10,30000,1,202146,1995,2.7,2.72
"3218",0.05,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,4,145,4,10,27000,1,202071,1995,2.8,2.85
"3222",0.03,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",72,4,148,4,10,21000,1,202413,1995,1.7,1.73
"3249",0.02,"PARK AVE W","NW","3  Principal Arterial - Other","1    Asphalt",48,4,138,4,10,19000,1,107760,1995,1.09,1.11
"3254",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",56,4,154,4,10,21000,4,107767,1995,1.24,1.3
"3257",0.03,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,218,4,10,29000,0,202147,1995,1,1.03
"3272",0.04,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",98,4,182,6,10,40000,1,107772,1995,0.11,0.15
"3275",0.08,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,233,4,10,29000,0,202147,1995,2.1,2.18
"3281",0.03,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,158,4,10,27000,1,202071,1995,2.97,3
"3285",0.04,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",72,4,591,4,10,21000,1,202413,1995,1.8,1.84
"3303",0.1,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",24,1,194,6,10,45000,0,202077,1995,3.5,3.6
"3311",0.06,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",72,4,320,6,12,20000,3,901631,1995,0.8,0.86
"3313",0.016,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,2.5,144,2,12,19000,2,202200,1995,3.8,3.816
"3317",0.04,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",56,4,202,4,12,21000,4,107767,1995,1.35,1.39
"3319",0.1,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,180,4,10,30000,3,202096,1995,2.5,2.6
"3320",0.03,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,278,4,10,29000,0,202147,1995,0.7,0.73
"3326",0.09,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,197,5,10,29000,0,202073,1995,0.61,0.7
"3328",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,133,2,10,19000,2,202200,1995,3.3,3.4
"3329",0.07,"N KALAMATH ST","N","3  Principal Arterial - Other","1    Asphalt",52,4,181,5,10,39000,1,202126,1995,0.93,1
"3347",0.1,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,271,4,10,23000,1,201997,1995,3.1,3.2
"3358",0.03,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,360,2,10,8100,3,106744,1995,0.07,0.1
"3364",0.02,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,260,8,12,31000,3,202028,1995,0.5,0.52
"3366",0.02,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",44,4,235,4,10,35000,3,107744,1995,0.46,0.48
"3367",0.01,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,189,4,10,29000,0,202147,1995,0.49,0.5
"3376",0.036,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",58,4,230,2,10,24000,2,900538,1995,1.1,1.136
"3386",0.1,"PENA BLVD INBOUND","NE","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,99,4,11,98000,0,106559,1995,4.77,4.87
"3393",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,230,4,10,37000,0,202000,1995,1.79,1.8
"3397",0.07,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,385,4,10,46000,3,107725,1995,3.83,3.9
"3405",0.07,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",48,4,240,4,12,40000,3,900101,1995,0.21,0.28
"3407",0.1,"PENA BLVD INBOUND","NE","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,94,4,11,98000,0,106559,1995,4.87,4.97
"3413",0.065,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,4,213,8,12,27000,0,901637,1995,1.235,1.3
"3416",0.03,"N SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,247,4,10,25000,3,107769,1995,0.15,0.18
"3438",0.04,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,247,2,10,8100,3,106744,1995,0.66,0.7
"3442",0.1,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",96,4,210,6,12,52000,0,202235,1995,0.5,0.6
"3443",0.05,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",98,4,330,6,10,40000,1,107772,1995,0.05,0.1
"3446",0.1,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,225,4,10,29000,0,202147,1995,2.4,2.5
"3452",0.04,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,149,5,10,24000,1,900072,1995,0.2,0.24
"3455",0.045,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,321,4,10,25000,1,202031,1995,0.1,0.145
"3459",0.02,"20TH ST","NW","4  Minor Arterial","1    Asphalt",62,4,356,4,9,17000,1,106531,1995,0.44,0.46
"3478",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,196,2,10,24000,2,900538,1995,1.3,1.4
"3488",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,71,4,10,22000,4,107768,1995,1.79,1.8
"3490",0.02,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,174,4,10,33000,3,107746,1995,1.06,1.08
"3491",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,240,4,10,29000,0,202147,1995,2,2.02
"3496",0.01,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,4,206,6,11,43000,1,900537,1995,0.59,0.6
"3498",0.03,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",62,4,104,4,10,23000,2,900088,1995,1.07,1.1
"3508",0.1,"PENA BLVD INBOUND","E","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,75,6,11,97000,4,106560,1995,0,0.1
"3516",0.02,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,285,4,10,24000,0,201998,1995,2.48,2.5
"3527",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,162,6,10,31000,0,901639,1995,0.1,0.11
"3532",0.015,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,197,8,12,32000,3,900124,1995,2.2,2.215
"3535",0.04,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,145,4,10,31000,1,107770,1995,0.66,0.7
"3555",0.03,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,150,5,10,29000,0,202073,1995,0.37,0.4
"3557",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",24,4,97,2,12,20000,4,902075,1995,0.2,0.3
"3558",0.1,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,4,131,4,10,26000,1,900085,1995,0.3,0.4
"3566",0.05,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,47,4,11,115000,4,106558,1995,2.77,2.82
"3575",0.019,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,406,4,10,26000,1,900126,1995,3.7,3.719
"3586",0.08,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,213,5,10,31000,0,901639,1995,0.32,0.4
"3594",0.08,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,176,4,10,33000,3,107746,1995,1.2,1.28
"3595",0.09,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,160,4,10,31000,1,107770,1995,0.71,0.8
"3602",0.1,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,2.5,79,6,11,10000,0,202083,1995,1.3,1.4
"3620",0.06,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",52,4,293,4,10,29000,0,201999,1995,2.24,2.3
