"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","IRI","THRULNQTY","THRULNWD","AADT","AADTDERIV","COUNTSTATI","BUILTYR","RUNLENGTH_","RUNLENGTH1"
"258",0.05,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,4,376,4,10,27000,1,900086,1995,0.64,0.69
"266",0.07,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,131,4,11,122000,1,900096,1995,1.97,2.04
"285",0.03,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,135,6,10,31000,0,901639,1995,0.27,0.3
"291",0.005,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,178,7,12,32000,3,900124,1995,2.3,2.305
"293",0.01,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,181,4,10,33000,3,107746,1995,0.99,1
"294",0.06,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,195,4,10,25000,3,107769,1995,0.33,0.39
"310",0.05,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,281,4,12,20000,3,901631,1995,0.3,0.35
"312",0.084,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,2.5,144,2,12,19000,2,202200,1995,3.816,3.9
"316",0.05,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,1,405,4,10,25000,3,107769,1995,2.43,2.48
"318",0.065,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,232,4,10,30000,3,202096,1995,2.235,2.3
"319",0.01,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,278,4,10,29000,0,202147,1995,0.79,0.8
"325",0.07,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,151,5,10,29000,0,202073,1995,0.73,0.8
"327",0.084,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,2.5,229,2,12,19000,2,202200,1995,3.416,3.5
"328",0.02,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,1,134,3,10,24000,0,900084,1995,0.1,0.12
"336",0.1,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,61,4,11,115000,4,106558,1995,2.57,2.67
"338",0.1,"PENA BLVD INBOUND","E","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,129,6,11,97000,4,106560,1995,0.2,0.3
"345",0.015,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,193,4,10,23000,1,201997,1995,3.385,3.4
"364",0.07,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,161,4,10,33000,3,107746,1995,0.6,0.67
"365",0.05,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,185,4,10,29000,0,202147,1995,0.55,0.6
"372",0.1,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,2.5,73,6,11,10000,0,202083,1995,1.1,1.2
"374",0.064,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",58,4,230,2,10,24000,2,900538,1995,1.136,1.2
"384",0.1,"PENA BLVD INBOUND","NE","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,102,4,11,98000,0,106559,1995,5.17,5.27
"391",0.09,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,341,4,10,36000,3,202002,1995,1.4,1.49
"395",0.1,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,326,4,10,46000,3,107725,1995,3.9,4
"399",0.07,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,1,176,6,10,40000,1,106564,1995,4,4.07
"402",0.07,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",48,4,230,4,12,40000,3,900101,1995,0.3,0.37
