"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"48",0.035,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,4,12,27000,0,1.7,1.735,189
"49",0.03,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,32000,3,0.87,0.9,192
"50",0.02,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,4,11,31000,1,1.6,1.62,194
"51",0.01,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",106,4,7,10,32000,3,0.1,0.11,195
"52",0.074,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,2,10,19000,2,3.226,3.3,201
"53",0.04,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,36000,3,1.36,1.4,209
"54",0.029,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,26000,1,3.5,3.529,222
"55",0.04,"PARK AVE W","NW","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,19000,1,0.95,0.99,223
"56",0.045,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,25000,1,0.645,0.69,230
"57",0.052,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,2,10,8100,3,0.6,0.652,232
"58",0.05,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",96,4,6,12,52000,0,0.35,0.4,250
"59",0.01,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",20,4,4,10,53000,4,2.87,2.88,253
"60",0.075,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",66,4,8,12,27000,0,1.4,1.475,266
"61",0.05,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,37000,0,1.94,1.99,272
"62",0.03,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,32000,3,0.37,0.4,276
"63",0.1,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,4,10,23000,0,0.47,0.57,278
"64",0.025,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",60,4,8,12,27000,0,1.475,1.5,279
"65",0.005,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,4,10,30000,3,1.995,2,285
"66",0.065,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,25000,1,0.2,0.265,289
"67",0.04,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,4,10,29000,0,0.36,0.4,294
"68",0.09,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,32000,3,0.9,0.99,304
